den,t_den,max,sum,ave,pixel
1,2048,10.8709,71472,0.145677,490620
64,2048,2.3612,14422.4,0.0293962,490620
128,2048,1.8299,13017.9,0.0265335,490620
256,2048,1.0024,3813.98,0.00777379,490620
384,2048,1.0473,6359.75,0.0129627,490620
512,2048,0.9562,6153.49,0.0125423,490620
576,2048,1.0978,5538.35,0.0112885,490620
640,2048,0.916199,4872.06,0.00993042,490620
704,2048,1.38409,6519.97,0.0132893,490620
768,2048,1.3292,4925.41,0.0100392,490620
832,2048,0.907799,3787.33,0.00771947,490620
896,2048,1.27029,6785.66,0.0138308,490620
960,2048,1.3311,5960,0.0121479,490620
992,2048,0.759804,3938.91,0.00802844,490620
1008,2048,1.11539,5070.25,0.0103344,490620
1016,2048,1.1628,5626.65,0.0114684,490620
1024,2048,0.735901,4652.06,0.009482,490620
1280,2048,1.0274,4637.55,0.00945242,490620
1408,2048,1.3651,6779,0.0138172,490620
1536,2048,0.780102,5278.69,0.0107592,490620
1664,2048,1.3671,4870.83,0.00992791,490620
2048,2048,0,0,0,490620
